Make,Model,Class,EngineSize,Cylinders,Transmission,FuelType,ConsumptionCity,ConsumptionHwy,ConsumptionComb,CO2_Emissions,CO2_Rating
Hyundai,Sonata,Full-size,2.5,4,AS8,X,8.8,6.4,7.7,182,6
Hyundai,Sonata Hybrid,Full-size,2,4,AM6,X,5.3,4.6,5,117,8
Hyundai,Tucson,SUV: Small,2.5,4,AS8,X,9.4,7.4,8.5,200,6
Hyundai,Tucson AWD,SUV: Small,2.5,4,AS8,X,10.1,8.3,9.3,218,5
Hyundai,Tucson Hybrid,SUV: Small,1.6,4,AM6,X,6.3,6.6,6.4,152,7
Hyundai,Venue,Mid-size,1.6,4,AV1,X,7.9,6.9,7.5,177,6
Infiniti,Q50 AWD,Mid-size,3,6,AS7,Z,12.5,8.7,10.8,254,5
Infiniti,Q50 AWD Red Sport,Mid-size,3,6,AS7,Z,12.5,9.3,11.1,261,4
Infiniti,QX50 AWD,SUV: Small,2,4,AV8,Z,10.8,8.3,9.7,228,5
Infiniti,QX55 AWD,SUV: Small,2,4,AV8,Z,10.4,8.3,9.4,222,5
Infiniti,QX60 AWD,SUV: Standard,3.5,6,AS9,Z,11.9,9.3,10.7,251,5
Infiniti,QX80 4WD,SUV: Standard,5.6,8,AS7,Z,17.5,12.2,15.1,355,3
Jaguar,E-PACE P250,SUV: Small,2,4,AS9,Z,11.5,9.2,10.4,247,5
Jaguar,F-PACE P250,SUV: Small,2,4,AS8,Z,10.7,8.8,9.9,227,5
Jaguar,F-PACE P400,SUV: Small,3,6,AS8,Z,12.1,9.1,10.8,253,5
Jaguar,F-PACE P550 SVR,SUV: Small,5,8,AS8,Z,15.4,11,13.4,316,3
Jaguar,F-TYPE P450 Convertible,Two-seater,5,8,AS8,Z,14.1,9.7,12.1,286,4
Jaguar,F-TYPE P450 Convertible AWD,Two-seater,5,8,AS8,Z,15.2,9.8,12.7,299,4
Jaguar,F-TYPE P450 Coupe,Two-seater,5,8,AS8,Z,14.1,9.7,12.1,286,4
Jaguar,F-TYPE P450 Coupe AWD,Two-seater,5,8,AS8,Z,15.2,9.8,12.7,299,4
Jaguar,F-TYPE R Convertible AWD,Two-seater,5,8,AS8,Z,15.2,9.8,12.7,299,4
Jaguar,F-TYPE R Coupe AWD,Two-seater,5,8,AS8,Z,15.2,9.8,12.7,299,4
Jaguar,XF P250,Mid-size,2,4,AS8,Z,9.4,7.1,8.4,197,6
Jaguar,XF P300 AWD,Mid-size,2,4,AS8,Z,10.6,7.7,9.3,219,5
Jeep,Cherokee 4X4 Active Drive I,SUV: Small,2.4,4,A9,X,11.2,8,9.8,230,5
Jeep,Cherokee 4X4 Trailhawk Active Drive Lock,SUV: Small,2,4,A9,X,11.8,9.2,10.6,249,5
Jeep,Gladiator 4X4 EcoDiesel,Pickup truck: Standard,3,6,A8,D,10.8,8.5,9.8,263,4
Jeep,Gladiator 4X4 Rubicon EcoDiesel,Pickup truck: Standard,3,6,A8,D,11,8.7,10,271,4
Jeep,Gladiator 4X4,Pickup truck: Standard,3.6,6,A8,X,13.7,10.7,12.3,290,4
Jeep,Gladiator 4X4,Pickup truck: Standard,3.6,6,M6,X,14.3,10.4,12.6,296,4
Jeep,Grand Cherokee 4X4,SUV: Standard,3.6,6,A8,X,12.3,9.2,10.9,256,5
Jeep,Grand Cherokee 4X4,SUV: Standard,5.7,8,A8,X,16.7,10.9,14.1,331,3
Jeep,Grand Cherokee L 4X4,SUV: Standard,3.6,6,A8,X,13,9.4,11.3,266,4
Jeep,Grand Cherokee L 4X4,SUV: Standard,5.7,8,A8,X,16.7,10.9,14.1,331,3
Jeep,Grand Wagoneer 4X4 (High Output),SUV: Standard,3,6,A8,Z,16.3,11.8,14.3,334,3
Jeep,Grand Wagoneer 4X4,SUV: Standard,6.4,8,A8,Z,18.6,12.8,16,374,2
Jeep,Grand Wagoneer L 4X4 (High Output),SUV: Standard,3,6,A8,Z,17,12.5,15,352,3
Jeep,Renegade 4X4,SUV: Small,1.3,4,A9,X,10.1,8.1,9.2,222,5
Jeep,Renegade 4X4 Trailhawk,SUV: Small,1.3,4,A9,X,10.8,8.7,9.9,231,5
Jeep,Wagoneer 4X4,SUV: Standard,5.7,8,A8,X,15.6,11.7,13.8,324,3
Jeep,Wrangler JL 4X4,SUV: Small,2,4,A8,X,10.7,9.8,10.3,241,5
Jeep,Wrangler JL 4X4,SUV: Small,3.6,6,A8,X,12.8,10.4,11.8,274,4
Jeep,Wrangler JL 4X4 eTorque,SUV: Small,3.6,6,A8,X,12,9.8,11,258,4
Jeep,Wrangler JL 4X4,SUV: Small,3.6,6,M6,X,13.7,9.6,11.8,277,4
Jeep,Wrangler JL Unlimited 4X4,SUV: Small,2,4,A8,X,11.5,9.9,10.8,251,5
Jeep,Wrangler JL Unlimited 4X4 EcoDiesel,SUV: Small,3,6,A8,D,10.6,8.1,9.5,255,5
Jeep,Wrangler JL Unlimited 4X4 Rubicon EcoDiesel,SUV: Small,3,6,A8,D,11.2,9,10.2,275,4
Jeep,Wrangler JL Unlimited 4X4,SUV: Small,3.6,6,A8,X,12.9,10.2,11.7,275,4
Jeep,Wrangler JL Unlimited 4X4 eTorque,SUV: Small,3.6,6,A8,X,12.3,9.9,11.2,262,4
Jeep,Wrangler JL Unlimited 4X4,SUV: Small,3.6,6,M6,X,13.8,10.1,12.2,285,4
Jeep,Wrangler JL Unlimited 4X4 392,SUV: Small,6.4,8,A8,Z,18.5,14.1,16.5,387,2
Kia,Carnival,Minivan,3.5,6,AS8,X,12.1,8.9,10.6,252,5
Kia,Forte,Mid-size,1.6,4,AM7,X,8.7,6.6,7.8,184,6
Kia,Forte,Mid-size,2,4,AV,X,8.2,6,7.2,170,6
Kia,Forte 5,Full-size,1.6,4,AM7,X,8.9,6.9,8,190,6
Kia,Forte 5,Full-size,2,4,AV,X,8.6,6.5,7.7,182,6
Kia,K5,Full-size,2.5,4,AM8,X,9.9,7.3,8.7,207,5
Kia,K5 AWD,Full-size,1.6,4,AS8,X,9.3,7,8.3,196,6
Kia,Niro,Station wagon: Small,1.6,4,AM6,X,4.5,5.2,4.8,112,8
Kia,Niro FE,Station wagon: Small,1.6,4,AM6,X,4.5,4.4,4.4,104,9
Kia,Rio,Compact,1.6,4,AV1,X,7.2,6.1,6.7,160,7
Kia,Rio,Compact,1.6,4,M6,X,7.7,6.1,7,166,6
Kia,Seltos,SUV: Small,2,4,AV8,X,8.2,7.1,7.7,182,6
Kia,Seltos AWD,SUV: Small,1.6,4,AM7,X,9.4,7.9,8.7,205,5
Kia,Seltos AWD,SUV: Small,2,4,AV8,X,8.8,7.6,8.2,195,6
Kia,Sorento AWD,SUV: Small,2.5,4,AM8,X,10.9,8.7,9.9,234,5
Kia,Sorento AWD,SUV: Small,2.5,4,AS8,X,10.1,9.2,9.7,227,5
Kia,Sorento Hybrid AWD,SUV: Small,1.6,4,AM6,X,6.4,7,6.6,157,7
Kia,Soul,Station wagon: Small,2,4,AV,X,8.5,7,7.9,187,6
Kia,Sportage,SUV: Small,2.5,4,AS8,X,9.3,7.4,8.4,198,6
Kia,Sportage AWD,SUV: Small,2.5,4,AS8,X,10.4,8.5,9.5,224,5
Kia,Sportage Hybrid AWD,SUV: Small,1.6,4,AM6,X,6.1,6.3,6.2,145,7
Kia,Stinger AWD,Mid-size,3.3,6,AS8,Z,13.7,9.6,11.9,280,4
Kia,Telluride AWD,SUV: Small,3.8,6,AS8,X,12.8,9.8,11.4,269,4
Lamborghini,Huracán EVO Coupe,Two-seater,5.2,10,AM7,Z,18,13.1,15.8,368,2
Lamborghini,Huracán EVO Coupe AWD,Two-seater,5.2,10,AM7,Z,18.1,13.2,15.9,370,2
Lamborghini,Huracán EVO Spyder,Two-seater,5.2,10,AM7,Z,18,13.1,15.8,368,2
Lamborghini,Huracán EVO Spyder AWD,Two-seater,5.2,10,AM7,Z,18.1,13.2,15.9,370,2
Lamborghini,Urus Performante,SUV: Standard,4,8,AS8,Z,16.6,12.5,14.8,345,3
Lamborghini,Urus S,SUV: Standard,4,8,AS8,Z,16.6,12.5,14.8,345,3
Land Rover,Defender 90 P300,SUV: Standard,2,4,AS8,Z,13.2,11.3,12.3,289,4
Land Rover,Defender 90 P400,SUV: Standard,3,6,AS8,Z,12.9,10.4,11.8,276,4
Land Rover,Defender 90 5.0L V8,SUV: Standard,5,8,AS8,Z,15.8,12.4,14.3,339,3
Land Rover,Defender 110 P300,SUV: Standard,2,4,AS8,Z,14.2,11.7,13,306,4
Land Rover,Defender 110 P400,SUV: Standard,3,6,AS8,Z,12.9,10.4,11.8,276,4
Land Rover,Defender 110 5.0L V8,SUV: Standard,5,8,AS8,Z,16.4,12.7,14.7,350,3
Land Rover,Discovery P300,SUV: Standard,2,4,AS8,Z,12.2,10.6,11.5,271,4
Land Rover,Discovery P360,SUV: Standard,3,6,AS8,Z,12.1,9.3,10.9,258,4
Land Rover,Discovery Sport P250,SUV: Small,2,4,AS9,Z,12.7,10,11.5,271,4
Land Rover,Range Rover P400,SUV: Standard,3,6,AS8,Z,13.1,9.1,11.3,265,4
Land Rover,Range Rover P400 LWB,SUV: Standard,3,6,AS8,Z,13.1,9.1,11.3,265,4
Land Rover,Range Rover P530,SUV: Standard,4.4,8,AS8,Z,15.1,11.1,13.3,316,4
Land Rover,Range Rover P530 LWB,SUV: Standard,4.4,8,AS8,Z,15.2,11,13.3,314,4
Land Rover,Range Rover Sport P360,SUV: Standard,3,6,AS8,Z,12.3,9,10.8,254,5
Land Rover,Range Rover Sport HST P400,SUV: Standard,3,6,AS8,Z,13.1,9.1,11.3,265,4
Land Rover,Range Rover Sport P530,SUV: Standard,4.4,8,AS8,Z,15.1,11.1,13.3,316,4
Land Rover,Range Rover Evoque P250,SUV: Small,2,4,AS9,Z,11.9,8.8,10.5,247,5
Land Rover,Range Rover Evoque P300,SUV: Small,2,4,AS9,Z,11.3,9.1,10.3,244,5
Land Rover,Range Rover Velar P250,SUV: Small,2,4,AS8,Z,11.5,9,10.4,244,5
Land Rover,Range Rover Velar P340,SUV: Small,3,6,AS8,Z,11.8,9,10.5,248,5
Land Rover,Range Rover Velar P400,SUV: Small,3,6,AS8,Z,12.6,9.5,11.2,265,4
Lexus,ES 250 AWD,Mid-size,2.5,4,AS8,X,9.5,7,8.4,195,6
Lexus,ES 300h,Mid-size,2.5,4,AV6,X,5.5,5.2,5.3,124,8
Lexus,ES 350,Mid-size,3.5,6,AS8,X,10.7,7.3,9.2,214,5
Lexus,ES 350 F SPORT,Mid-size,3.5,6,AS8,X,10.9,7.5,9.4,219,5
Lexus,GX 460,SUV: Standard,4.6,8,AS6,Z,16.2,12.3,14.5,337,3
Lexus,IS 300,Compact,2,4,AS8,Z,11,7.6,9.5,221,5
Lexus,IS 300 AWD,Compact,3.5,6,AS6,Z,12.2,9,10.8,253,5
Lexus,IS 350 AWD,Compact,3.5,6,AS6,Z,12.2,9,10.8,253,5
Lexus,IS 500,Compact,5,8,AS8,Z,14.1,9.3,11.9,280,4
Lexus,LC 500,Subcompact,5,8,AS10,Z,15.1,9.6,12.6,294,4
